zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster,sqft_norm,zestimate_norm
25407169,932 S Matthew Way, Anaheim,CA,92808,4,3.0,1952,798117,3,1.3153638814,1.61373495559
25418097,1082 S Laughingbrook Ct, Anaheim,CA,92808,3,3.0,1600,676734,3,1.0781671159,1.36830729259
25650794,320 N Park Vista St SPC 26, Anaheim,CA,92806,3,2.0,1400,1746237,2,0.943396226415,3.53076514803
2097545601,1786 N Cedar Glen Dr APT B, Anaheim,CA,92807,2,1.0,942,703392,0,0.634770889488,1.42220784407
25404982,8382 E Quiet Canyon Ct, Anaheim,CA,92808,3,3.0,1750,708804,3,1.17924528302,1.43315051736
25414868,227 S Calle Diaz, Anaheim,CA,92807,3,2.0,1968,692501,3,1.32614555256,1.40018702832
2097895618,The Malaga - Plan 3 Plan, Cava Anaheim,CA,92801,3,3.0,1559,501051,0,1.05053908356,1.01308894966
25406561,7411 E Mill Stream Cir, Anaheim,CA,92808,5,5.0,3622,1435206,2,2.44070080863,2.90188292027
25164960,2430 E Powhatan Ave, Anaheim,CA,92806,4,2.0,1834,601134,3,1.2358490566,1.21544955037
25344741,1138 N Earl Pl, Anaheim,CA,92806,3,2.0,1590,584257,3,1.07142857143,1.18132547477
25396243,6621 Kameha Cir, Yorba Linda,CA,92886,3,1.5,1250,468074,0,0.842318059299,0.946411836365
25411835,160 S Cerro Vista Way, Anaheim,CA,92807,7,8.0,7347,3298994,2,4.95080862534,6.67032770395
25322160,2076 S West St # 207, Anaheim,CA,92802,2,2.0,1144,432766,0,0.770889487871,0.875021609353
2097557616,1400 S Sunkist St SPC 197, Anaheim,CA,92806,2,2.0,1721,703392,3,1.15970350404,1.42220784407
2100901237,2076 S West St, Anaheim,CA,92802,2,2.0,1145,448845,0,0.771563342318,0.907532186563
25644652,1919 W Coronet Ave SPC 162, Anaheim,CA,92801,3,2.0,1800,1918423,2,1.21293800539,3.87891280942
25406768,6665 E Canyon Hills Rd, Anaheim,CA,92807,4,4.0,3900,1297046,2,2.62803234501,2.62253337445
2098820705,Anacasa Residence 2 Plan, Anacasa Anaheim,CA,92804,3,3.0,1644,523465,3,1.10781671159,1.05840843953
25217942,2850 W Elmlawn Dr, Anaheim,CA,92804,4,2.0,1340,510607,0,0.902964959569,1.03241049178
25406653,445 S Bridge View Dr, Anaheim,CA,92808,4,4.0,3679,1301677,2,2.47911051213,2.63189692212
25164726,504 S Priscilla Way, Anaheim,CA,92806,3,2.0,1442,543052,0,0.971698113208,1.09801193948
25408676,7698 E Calle Durango, Anaheim,CA,92808,4,3.0,2432,724070,3,1.63881401617,1.46401726726
2101974528,Residence 1 Plan, Turnberry Anaheim,CA,92805,2,2.5,1502,526780,0,1.01212938005,1.06511113021
25334788,2742 E Maverick Ave, Anaheim,CA,92806,3,2.0,1538,587587,3,1.03638814016,1.18805849437
2097573548,641 S Brookhurst St, Anaheim,CA,92804,3,2.5,0,703392,0,0.0,1.42220784407
25388199,5120 E Tango Cir, Anaheim,CA,92807,3,2.0,1370,589794,0,0.923180592992,1.19252088904
2101974526,Residence 4 Plan, Turnberry Anaheim,CA,92805,4,3.5,2008,626240,3,1.35309973046,1.2662120699
64636526,5815 E La Palma Ave SPC 228, Anaheim,CA,92807,3,2.0,1600,52762,0,1.0781671159,0.106680954957
25332332,1825 E Diana Ave, Anaheim,CA,92805,4,2.0,1560,549058,3,1.05121293801,1.11015563789
25740992,544 N Wake Forest Dr # 106, Anaheim,CA,92801,2,3.0,1216,391297,0,0.819407008086,0.791174285122
25332675,602 W Bellevue Dr, Anaheim,CA,92805,0,0.0,4009,1206195,2,2.70148247978,2.43883921125
25751528,5651 E Stetson Ct # 9, Anaheim,CA,92807,3,2.0,1705,569631,3,1.14892183288,1.15175275867
25408105,167 N Paseo Rio Moreno, Anaheim,CA,92807,5,3.0,2359,728966,3,1.58962264151,1.47391662581
25416266,6549 E Camino Vis UNIT 2, Anaheim,CA,92807,3,3.0,1540,531721,0,1.03773584906,1.0751014755
25126497,325 N Olive St, Anaheim,CA,92805,3,3.0,2053,618188,3,1.38342318059,1.2499315072
25126281,706 N Zeyn St, Anaheim,CA,92805,5,3.0,1944,647445,3,1.30997304582,1.30908704905
25405996,352 S Mohler Dr, Anaheim,CA,92808,10,10.0,7600,3023272,2,5.12129380054,6.11283772513
25157622,129 N Bircher St, Anaheim,CA,92801,3,1.0,1120,505820,0,0.754716981132,1.02273152337
25323680,1425 E Bassett Way, Anaheim,CA,92805,3,2.0,1551,509812,0,1.04514824798,1.03080305918
25661815,1901 W Greenleaf Ave APT M, Anaheim,CA,92801,4,2.0,1497,390069,0,1.00876010782,0.788691357775
2101974529,Residence 2 Plan, Turnberry Anaheim,CA,92805,3,3.5,1662,538649,3,1.11994609164,1.08910939135
25227238,1532 W Laster Ave, Anaheim,CA,92802,4,3.0,1851,606554,3,1.24730458221,1.22640839909
25403789,322 S Larkwood St, Anaheim,CA,92808,3,3.0,2025,671685,3,1.36455525606,1.35809857909
25403548,7943 E Altair Ln, Anaheim,CA,92808,3,2.0,1457,647616,0,0.981805929919,1.3094327987
25726769,1056 S Dewcrest Dr, Anaheim,CA,92808,2,2.0,1281,481552,0,0.86320754717,0.973663379349
25405486,930 S Dylan Way, Anaheim,CA,92808,3,2.0,1350,654768,0,0.909703504043,1.32389362638
65392710,315 S Via Montanera, Anaheim,CA,92807,4,3.0,3163,1244489,2,2.13140161725,2.51626691469
25417773,845 S Swallow Way, Anaheim,CA,92807,4,3.0,2877,1055628,3,1.93867924528,2.13440360712
2097604230,1866 W Falmouth Ave, Anaheim,CA,92801,2,3.0,989,304658,0,0.666442048518,0.615996481846
25164907,2315 E Puritan Ln, Anaheim,CA,92806,3,2.0,1389,544985,0,0.935983827493,1.10192032593
25157612,306 N Bircher St, Anaheim,CA,92801,3,1.0,1119,453435,0,0.754043126685,0.916812835198
25125231,856 N Dickel St, Anaheim,CA,92805,4,3.0,1881,564384,3,1.26752021563,1.14114370346
95746405,704 E Valencia St, Anaheim,CA,92805,3,3.0,1523,502997,0,1.02628032345,1.01702362117
25407175,909 S Matthew Way, Anaheim,CA,92808,4,3.0,2275,828295,3,1.53301886792,1.67475269296
25227371,1420 W Trenton Dr, Anaheim,CA,92802,3,2.0,1277,543734,0,0.86051212938,1.09939089425
51673193,8725 E Fallbrook Way, Anaheim,CA,92808,4,3.0,2065,711519,3,1.39150943396,1.43864005136
25407731,5937 E Camino Manzano, Anaheim,CA,92807,4,2.0,1965,663766,3,1.32412398922,1.34208693279
25398579,1221 N Amelia St, Anaheim,CA,92807,3,2.0,1438,615058,0,0.969002695418,1.24360287316
25130249,1252 E Broadway, Anaheim,CA,92805,3,2.0,1501,525765,0,1.01145552561,1.06305887348
25223387,511 S Agate St, Anaheim,CA,92804,3,2.0,1502,548944,0,1.01212938005,1.10992513812
2097623444,278 N Wilshire Ave APT B17, Anaheim,CA,92801,1,1.0,682,254679,0,0.459568733154,0.514942551976
25659395,1368 S Country Glen Way, Anaheim,CA,92808,3,3.0,1248,525661,0,0.840970350404,1.06284859299
25415152,289 S Avenida Margarita, Anaheim,CA,92807,3,2.0,1981,739261,3,1.33490566038,1.49473237258
25227177,1562 W Stoneman Pl, Anaheim,CA,92802,3,2.0,1234,540741,0,0.83153638814,1.09333926432
25223189,1835 W Tedmar Ave, Anaheim,CA,92804,3,2.0,1578,518651,0,1.06334231806,1.04867487906
25157403,1165 N Catalpa Ave, Anaheim,CA,92801,4,2.0,1948,636007,3,1.31266846361,1.28596023879
25124746,831 N Redondo Dr E, Anaheim,CA,92801,3,2.0,1738,587570,3,1.17115902965,1.1880241216
25220075,2501 W Lorena Dr, Anaheim,CA,92804,3,2.0,1485,536414,0,1.00067385445,1.0845903827
25403625,7945 E Sagewood Ln, Anaheim,CA,92808,3,2.0,1450,641335,0,0.977088948787,1.29673307015
25219402,109 S Gilbert St, Anaheim,CA,92804,3,2.0,1505,635899,3,1.0141509434,1.28574187059
25416336,6520 E Camino Vis UNIT 3, Anaheim,CA,92807,3,3.0,1540,547755,0,1.03773584906,1.10752106596
25394686,7412 E Woodsboro Ave, Anaheim,CA,92807,3,3.0,1900,691333,3,1.28032345013,1.39782541664
25660934,8517 E Tioga Way, Anaheim,CA,92808,3,3.0,1250,503462,0,0.842318059299,1.0179638176
25404878,7656 E Lockmont Cir, Anaheim,CA,92808,5,3.0,3326,1269873,2,2.24123989218,2.56759153014
25176124,1150 W Dewey Dr, Anaheim,CA,92802,3,2.0,1875,610057,3,1.26347708895,1.2334912122
25661667,7895 E Menton Ave, Anaheim,CA,92808,2,2.5,1205,461179,0,0.811994609164,0.932470644136
25217414,641 S Bronwyn Dr, Anaheim,CA,92804,3,2.0,1229,534761,0,0.828167115903,1.08124813604
2098249200,Anacasa Residence 3 Plan, Anacasa Anaheim,CA,92804,3,3.5,1754,540801,3,1.18194070081,1.09346057999
25130126,328 S Vine St, Anaheim,CA,92805,4,4.0,3380,959548,3,2.27762803235,1.94013678342
25152891,1400 N Roundtree Ln, Anaheim,CA,92801,3,2.0,1096,377822,0,0.738544474394,0.763928807922
2134540268,435 W Center St UNIT 308, Anaheim,CA,92805,3,2.0,2406,645327,3,1.62129380054,1.30480460595
83260190,435 W Center Street Promenade UNIT 328, Anaheim,CA,92805,2,2.0,1547,437689,0,1.04245283019,0.884975559948
25217332,711 S Bronwyn Dr, Anaheim,CA,92804,4,2.0,1869,587167,3,1.25943396226,1.18720928469
2097657365,1148 N Dresden St, Anaheim,CA,92801,3,3.0,1459,464686,0,0.983153638814,0.939561544955
2097895617,The Castilla - Plan 2 Plan, Cava Anaheim,CA,92801,3,3.0,1535,502539,0,1.03436657682,1.01609757824
25706580,278 N Wilshire Ave # PHB1, Anaheim,CA,92801,2,2.0,1074,265606,0,0.72371967655,0.537036157124
2124223033,724 S Crown Pointe Dr, Anaheim,CA,92807,4,3.0,2400,737145,3,1.61725067385,1.49045397334
25157728,2012 W Dogwood Ave, Anaheim,CA,92801,4,2.0,1239,533429,0,0.834905660377,1.0785549282
25415854,5850 E Trapper Trl, Anaheim,CA,92807,4,3.0,3350,1077478,3,2.25741239892,2.1785827297
2097895619,The Rioja - Plan 4 Plan, Cava Anaheim,CA,92801,4,4.0,1731,514257,3,1.16644204852,1.03979052828
25418146,7918 E Rainview Ct, Anaheim,CA,92808,4,3.0,0,724453,0,0.0,1.46479166561
25125415,630 N Clementine St, Anaheim,CA,92805,4,1.0,0,747356,0,0.0,1.51109987818
2097666094,2030 S Lewis # 16, Anaheim,CA,92802,3,2.0,1248,334353,0,0.840970350404,0.676037628076
79813832,1055 N Shepard St, Anaheim,CA,92806,0,0.0,4365,1060627,3,2.94137466307,2.14451122423
2109528640,0 Santa Ana Canyon Rd, Anaheim Hills,CA,92808,0,0.0,0,703392,0,0.0,1.42220784407
25125825,1506 W Dogwood Ave, Anaheim,CA,92801,3,2.0,1493,485357,0,1.00606469003,0.981356814655
25659254,1024 S Country Glen Way, Anaheim,CA,92808,3,3.0,1248,531634,0,0.840970350404,1.07492556778
25322752,112 W Wilken Way, Anaheim,CA,92802,4,3.0,1716,526995,3,1.15633423181,1.06554584469
25415877,5490 E Big Sky Ln, Anaheim,CA,92807,4,3.0,2642,846783,3,1.78032345013,1.71213409425
25129242,953 S Pepper St, Anaheim,CA,92802,3,2.0,1233,575590,0,0.830862533693,1.16380142647
25331816,512 S Adria St, Anaheim,CA,92802,3,2.0,1572,566553,3,1.05929919137,1.14552926488
25416017,729 S Langtree Ln, Anaheim,CA,92807,3,3.0,1650,603660,3,1.11185983827,1.22055694001
25660971,867 S Pagossa Way, Anaheim,CA,92808,3,3.0,1250,509251,0,0.842318059299,1.02966875768
25160195,571 N Century Dr, Anaheim,CA,92805,3,3.0,1886,605325,3,1.27088948787,1.22392344981
25731358,3562 W Stonepine Ln UNIT F, Anaheim,CA,92804,2,2.0,1026,355962,0,0.691374663073,0.719729466059
64750050,5815 E La Palma Ave SPC 182, Anaheim,CA,92807,3,2.0,1537,233216,0,1.03571428571,0.471545915453
25225990,2159 W Forest Ln, Anaheim,CA,92804,4,4.0,1641,648790,3,1.10579514825,1.31180654195
