zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster
29486291,7506 Bender Dr, Austin,TX,78749,3,3.0,1537,248096,2
29369534,7001 Danwood Dr, Austin,TX,78759,3,3.0,1918,378515,4
62606897,2632 Century Park Blvd UNIT 41, Austin,TX,78727,2,3.0,1553,174491,1
29437761,1117 Porterfield Dr, Austin,TX,78753,3,3.0,2419,210605,1
89552537,360 Nueces St APT 1010, Austin,TX,78701,1,1.0,715,373196,4
29487500,8905 Colberg Dr, Austin,TX,78749,4,3.0,2473,385197,4
2097545835,1008 Muse Ln # 14, Austin,TX,78702,3,3.0,1627,370389,4
83126303,8701 Escarpment Blvd APT 142, Austin,TX,78749,2,2.0,1415,269253,2
83827138,14009 Lake View Dr, Austin,TX,78732,4,4.5,3415,474397,4
97847945,800 Walnut Creek Dr, Austin,TX,78753,3,3.0,2124,370389,4
29374485,10710 Fountainbleu Cir, Austin,TX,78750,4,2.0,2972,512433,4
29355971,6800 Ladera Norte, Austin,TX,78731,4,4.0,3354,771242,5
119617136,7635 Evening Sky Cir # G-11, Austin,TX,78735,3,3.0,2276,352938,4
2098899299,539 Plan, Belterra Austin,TX,78737,4,3.0,2463,357236,4
29386816,1206 Angelina St, Austin,TX,78702,1,1.0,448,238864,2
29429863,9304 Hunters Trce, Austin,TX,78758,3,2.0,1230,204522,1
111370865,2124 Williston Loop, Austin,TX,78748,4,3.0,2084,370389,4
29388851,1145 Nickols Ave, Austin,TX,78721,3,2.0,1215,275869,3
70337310,11800 Eagles Glen Dr, Austin,TX,78732,5,4.0,4935,852047,5
83813736,13408 Bullick Hollow Rd, Austin,TX,78726,3,2.0,1649,400572,4
2097553570,1806 Piedmont Ave # A, Austin,TX,78757,3,3.0,1718,370389,4
2097553800,406 N Pleasant Valley Rd, Austin,TX,78702,3,3.0,1917,370389,4
29491390,5711 Marchmont Ln, Austin,TX,78749,4,2.0,2297,339518,3
2097554002,1601 E Slaughter Ln # 5555, Austin,TX,78747,3,2.0,1116,370389,4
2097554457,1806 Piedmont Ave # B, Austin,TX,78757,2,2.0,846,370389,4
89550153,9012 Tall Sky Trce, Austin,TX,78724,4,3.0,2668,203263,1
80092807,1101 Grove Blvd APT 401, Austin,TX,78741,2,3.0,1088,223995,2
89549462,2508 Alleyton Cv, Austin,TX,78725,3,2.0,1755,301721,3
80101099,10813 Desert Willow Loop, Austin,TX,78748,3,2.0,1701,268867,2
2097554490,000 E Us Hwy # 290, Austin,TX,78724,0,0.0,0,370389,4
80104805,11502 Bruce Jenner Ln, Austin,TX,78748,3,3.0,1422,223107,2
29474977,907 Juanita St, Austin,TX,78704,5,5.0,3122,1278000,6
2097568356,1904 Goodrich Avenue 17 # 17, Austin,TX,78704,3,3.0,0,370389,4
58316861,907 Minturn Ln, Austin,TX,78748,3,2.0,1315,222727,2
125914950,1401 Quinlan Park Rd, Austin,TX,78732,0,0.0,0,370389,4
29351770,5903 Cartwright Cv, Austin,TX,78731,3,2.0,2290,482114,4
2097555861,3812 Wadford St # B, Austin,TX,78704,3,3.0,1934,370389,4
2097555863,3812 Wadford St # A, Austin,TX,78704,3,3.0,1892,370389,4
80087262,2308 Enfield Rd APT 105, Austin,TX,78703,1,1.0,844,249902,2
124844634,2007 Sl Davis Ave APT A, Austin,TX,78702,3,2.5,2005,507060,4
29427839,200 Etta Pl, Austin,TX,78753,2,2.0,1220,163035,1
