zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster,zestimate_norm
26828806,5924 Melshire Dr, Dallas,TX,75230,3,3.0,4308,1148673,2,3.24094344227
120753444,2710 Silkwood St, Dallas,TX,75215,3,2.0,1279,103107,1,0.290913040963
26914346,5131 Whispering Oaks Dr, Dallas,TX,75236,4,3.0,2271,249339,3,0.703501864285
26702853,5918 Mercedes Ave, Dallas,TX,75206,3,2.0,2441,674988,4,1.90445664886
26808954,3623 Vinecrest Dr, Dallas,TX,75229,4,2.0,2146,360521,3,1.01719825464
2102375461,9747-D Whitehurst Dr # 110D, Dallas,TX,75243,2,2.0,984,396681,0,1.11922251644
69676218,3827 Holland Ave APT C, Dallas,TX,75219,3,4.0,2181,502348,0,1.41735851399
96521192,711 Elston Dr, Dallas,TX,75232,4,2.0,1600,396681,0,1.11922251644
26816968,9030 Cardella Ave, Dallas,TX,75217,3,1.0,884,85076,1,0.240039161968
26785460,5861 Marview Ln, Dallas,TX,75227,3,3.0,1981,190086,1,0.536321455426
2097545629,Tbd Lights Ranch Rd, Pilot Point,TX,75201,0,0.0,0,396681,0,1.11922251644
2097545643,11480D Audelia Rd # 248D, Dallas,TX,75243,1,1.0,730,396681,0,1.11922251644
2099839770,5609 Smu Blvd APT 214, Dallas,TX,75206,2,2.0,1158,362499,3,1.02277911719
26732831,5018 Wateka Dr, Dallas,TX,75209,2,2.0,1460,264460,3,0.746165273097
26698516,4419 Jamaica St, Dallas,TX,75210,3,2.0,1032,80889,1,0.228225677893
96506819,1906 Euclid Ave UNIT A, Dallas,TX,75206,2,3.0,2522,448038,0,1.26412461857
26911442,6904 Preston Glen Dr, Dallas,TX,75230,3,4.0,4038,1257499,2,3.5479924554
26686757,3910 Myrtle St, Dallas,TX,75215,3,1.0,1172,58296,1,0.164480264541
96527763,2507 Jim St, Dallas,TX,75212,5,3.0,1480,396681,0,1.11922251644
