zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster
15565842,1120 Adams St, Redwood City,CA,94061,2,1.0,610,803819,0
15591960,1969 Kentucky St, Redwood City,CA,94061,4,3.0,2897,2029652,1
15636817,26 Pelican Ln, Redwood City,CA,94065,2,1.0,1062,803818,0
15638615,700 Baltic Cir UNIT 728, Redwood City,CA,94065,2,2.0,1049,866721,0
119687258,206 Demi Ln, Redwood City,CA,94065,3,3.0,1812,993263,0
15591276,1646 Kentucky St, Redwood City,CA,94061,3,2.0,1999,1604070,0
15563734,1820 Brewster Ave, Redwood City,CA,94062,3,2.0,1520,1480840,0
15573304,1816 Harding Ave, Redwood City,CA,94062,3,2.0,1310,1330885,0
15576267,1308 Oxford St, Redwood City,CA,94061,2,2.0,1015,757204,0
15635233,1276 Woodside Rd, Redwood City,CA,94061,2,2.0,1360,848419,0
15640361,3015 E Bayshore Rd SPC 413, Redwood City,CA,94063,3,2.0,1100,14884,0
15591254,1710 Virginia Ave, Redwood City,CA,94061,2,1.0,1030,1151076,0
15564619,824 Harrison Ave, Redwood City,CA,94062,3,1.5,1300,1488055,0
122245668,636 Fan Tail Way UNIT 913, Redwood City,CA,94063,2,3.0,1340,987140,0
15636815,22 Pelican Ln, Redwood City,CA,94065,1,1.0,1062,794036,0
15591617,1762 Maryland St, Redwood City,CA,94061,3,1.0,1020,1488055,0
2103529315,0 Skyline Blvd, Woodside,CA,94062,0,0.0,0,1087832,0
15638173,566 Shoal Cir, Redwood City,CA,94065,1,2.0,1323,961012,0
2097752839,384 Genoa Dr, Redwood City,CA,94065,2,3.0,1178,1156521,0
15573557,532 Quartz St, Redwood City,CA,94062,3,2.0,2130,1560230,0
15566225,636 Poplar Ave, Redwood City,CA,94061,3,2.0,1400,1124034,0
15567904,961 5th Ave, Redwood City,CA,94063,3,2.0,2008,1226823,0
15574106,1127 Junipero Ave, Redwood City,CA,94061,0,0.0,2208,1382364,0
15563159,12 Woodstock Pl, Redwood City,CA,94062,3,3.0,1850,1884123,1
61472013,1435 Kentfield Ave, Redwood City,CA,94061,3,3.0,2172,1545183,0
15572607,3809 Harvest Dr, Redwood City,CA,94061,4,2.0,1570,1514237,0
15590542,5 Woodridge Ct, Redwood City,CA,94061,4,3.0,3565,3537564,2
2097836177,759 Brewster Ave # 17, Redwood City,CA,94063,2,4.0,1576,1316696,0
2098586341,311 Fuller St # 10, Redwood City,CA,94063,3,4.0,1588,1489251,0
15590421,1055 Silver Hill Rd, Redwood City,CA,94061,4,3.0,2160,2476451,2
15638181,598 Shoal Cir, Redwood City,CA,94065,2,2.0,1298,1037923,0
15574437,344 Alameda De Las Pulgas, Redwood City,CA,94062,4,6.0,3720,3025289,2
15564124,1330 Katherine Ave, Redwood City,CA,94062,3,1.0,1650,1617194,0
15565170,1341 Jefferson Ave, Redwood City,CA,94062,2,3.0,1131,1110246,0
15575642,1251 Dewey St, Redwood City,CA,94061,3,2.0,1240,1458616,0
15638375,7 Chart Ln, Redwood City,CA,94065,3,3.0,1400,1230102,0
15618558,546 Osprey Dr, Redwood City,CA,94065,3,3.0,1630,1636534,0
82959165,1520 Middlefield Rd, Redwood City,CA,94063,0,0.0,2107,1464657,0
15591459,2645 Massachusetts Ave, Redwood City,CA,94061,3,2.0,1910,1657780,0
15637186,417 Cork Harbour Cir APT A, Redwood City,CA,94065,2,2.0,900,789267,0
15577102,511 Fox Ct W, Redwood City,CA,94061,2,2.0,1410,1002129,0
15575574,1252 Fairview Ave, Redwood City,CA,94061,3,2.0,1975,1506244,0
15590606,8 Alverno Ct, Redwood City,CA,94061,2,4.0,2530,1955560,1
15575060,2361 Vera Ave, Redwood City,CA,94061,3,2.0,1750,1516794,0
15572685,908 Cambridge Rd, Redwood City,CA,94061,4,3.0,1580,1707893,0
15568061,843 6th Ave, Redwood City,CA,94063,2,1.0,1350,961023,0
15562794,2512 Whipple Ave, Redwood City,CA,94062,3,2.0,1460,1622343,0
15575012,2304 Cheshire Way, Redwood City,CA,94061,3,2.0,1790,1394678,0
15637722,825 Lakeshore Dr, Redwood Shore,CA,94065,3,2.0,2056,1491317,0
15575112,2764 Mcgarvey Ave, Redwood City,CA,94061,3,2.0,1250,1377016,0
15574828,823 Breeze Pl, Redwood City,CA,94062,4,2.0,1750,1474733,0
15576954,313 E Oakwood Blvd, Redwood City,CA,94061,3,3.0,2060,1532529,0
15566589,26 Manzanita St, Redwood City,CA,94063,3,2.0,1600,1033545,0
15573812,1704 Vera Ave, Redwood City,CA,94061,3,2.0,1340,1188409,0
15574746,430 Hillcrest Dr, Redwood City,CA,94062,2,1.0,830,1138657,0
2098084771,1539 Jefferson Ave, Redwood City,CA,94062,5,4.0,3356,2216640,1
2098093937,451-453 Roosevelt Ave, Redwood City,CA,94061,0,0.0,1562,1078772,0
15617490,495 Barkentine Ln, Redwood City,CA,94065,4,3.0,2432,1853641,1
15590493,1035 Twin Oaks Ct, Redwood City,CA,94061,4,3.0,2660,2231089,1
15636432,530 Shorebird Cir UNIT 7106, Redwood City,CA,94065,2,2.0,1413,905377,0
15640429,3499 E Bayshore Rd SPC 69, Redwood City,CA,94063,2,2.0,920,12448,0
15578204,1430 Gordon St APT O, Redwood City,CA,94061,3,2.5,1620,1179551,0
15575818,2563 Briarfield Ave, Redwood City,CA,94061,3,2.0,1440,1491738,0
15578454,408 Camberly Way, Redwood City,CA,94061,4,3.0,2470,1814482,1
15567582,1092 2nd Ave, Redwood City,CA,94063,4,4.0,2586,1551049,0
15639063,111 Sydney Ln, Redwood City,CA,94063,3,2.5,1625,1298388,0
15572675,3830 Bret Harte Dr, Redwood City,CA,94061,3,3.0,1992,1768961,0
15634303,111 Wellesley Cres APT 1E, Redwood City,CA,94062,2,3.0,1804,949888,0
15591186,2423 Washington Ave, Redwood City,CA,94061,4,3.0,2010,1720814,0
15576189,1314 Kentfield Ave, Redwood City,CA,94061,4,3.0,1909,1566072,0
15573246,224 Hillview Ave, Redwood City,CA,94062,4,2.0,2000,1727794,0
15573183,171 Westgate St, Redwood City,CA,94062,3,2.0,1550,1522280,0
15578248,1013 Cardiff Ln, Redwood City,CA,94061,3,3.0,1570,1712095,0
15618110,812 Seal Pointe Dr, Redwood City,CA,94065,3,3.0,2020,1995284,1
15564271,28 Fulton St, Redwood City,CA,94062,3,3.0,2189,2008100,1
15566611,104 Laurel St, Redwood City,CA,94063,6,4.0,3550,2050332,1
15563637,70 Hudson St, Redwood City,CA,94062,3,1.5,1490,1775364,1
15635888,50 Horgan Ave APT 50, Redwood City,CA,94061,3,2.0,1550,959822,0
15575569,1237 Truman St, Redwood City,CA,94061,4,5.0,3777,2768521,2
15634306,111 Wellesley Cres APT 2E, Redwood City,CA,94062,2,3.0,1804,1055136,0
15590462,3804 Chatham Ct, Redwood City,CA,94061,4,4.0,2920,2210975,1
111437303,107 Grasslands Ln, Redwood City,CA,94065,2,2.5,1470,1036647,0
15636573,1614 Hudson St APT 208, Redwood City,CA,94061,1,1.0,606,1488055,0
2103466145,0 Lawler Ranch Rd, Woodside,CA,94062,0,0.0,0,1488055,0
15573034,133 Hillview Ave, Redwood City,CA,94062,5,8.0,2750,2172011,1
15565627,1183 Hudson St, Redwood City,CA,94061,4,5.0,2700,1661982,0
15590612,11 Alverno Ct, Redwood City,CA,94061,2,2.5,2800,1908540,1
15637304,877 Boardwalk Pl, Redwood City,CA,94065,3,2.5,1400,1000479,0
15617610,517 Martinique Dr, Redwood City,CA,94065,4,2.5,2520,1908135,1
15591379,2568 Hampton Ave, Redwood City,CA,94061,5,4.0,2680,1648767,0
15576652,105 Nueva Ave, Redwood City,CA,94061,4,0.0,2290,1312919,0
15617629,38 Cadiz Cir, Redwood City,CA,94065,4,3.5,2520,1967284,1
15572259,3676 Mcnulty Way, Redwood City,CA,94061,3,3.0,2360,1981244,1
15590470,1035 Silver Hill Rd, Redwood City,CA,94061,3,3.0,2140,2630177,2
15573268,296 Hillview Ave, Redwood City,CA,94062,4,3.0,2650,1985859,1
15572782,250 Upland Rd, Redwood City,CA,94062,4,3.0,2300,1923537,1
15571678,823 Shepard Way, Redwood City,CA,94062,3,2.0,2300,1763436,0
15634311,4000 Farm Hill Blvd APT 101, Redwood City,CA,94061,3,2.0,1157,892935,0
