zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster,sqft_norm,zestimate_norm
2097585255,2315 Lake St, San Francisco,CA,94121,0,0.0,2847,1538662,3,2.14867924528,1.17687614922
96034546,1327 7th Ave APT 6, San Francisco,CA,94122,1,1.5,1134,1102865,5,0.855849056604,0.843548169972
15081928,3002 Clay St, San Francisco,CA,94115,3,2.0,2032,2202306,3,1.53358490566,1.68447742563
69819129,10 Mint Plz # 1, San Francisco,CA,94103,1,2.0,1559,2275700,3,1.17660377358,1.74061428226
2097586438,4014 25th St, San Francisco,CA,94114,2,1.0,0,1538662,6,0.0,1.17687614922
2097586740,2558 Mission St # 312, San Francisco,CA,94110,1,1.0,0,1538662,6,0.0,1.17687614922
2130220123,324 Connecticut St, San Francisco,CA,94107,0,0.0,4810,3522931,0,3.63018867925,2.69458365075
2099430832,Residence G2 Plan, Summit 800 San Francisco,CA,94132,3,2.5,1850,1423242,2,1.39622641509,1.08859487292
69819957,1751 Lake St, San Francisco,CA,94121,5,4.0,6027,5690446,0,4.54867924528,4.35245048998
15179593,21 Byron Ct, San Francisco,CA,94112,5,3.0,2242,719684,2,1.6920754717,0.550464581937
83153449,177 Townsend St UNIT 531, San Francisco,CA,94107,0,1.0,484,628276,4,0.365283018868,0.48054936011
15076178,1450 Post St APT 302, San Francisco,CA,94109,1,1.0,540,486647,4,0.407547169811,0.372221610326
111925735,830 York St, San Francisco,CA,94110,2,1.0,998,951717,5,0.75320754717,0.727939624235
2097587189,484 Belvedere St, San Francisco,CA,94117,2,1.0,1137,1538662,2,0.858113207547,1.17687614922
15133564,245 Fowler Ave, San Francisco,CA,94127,3,3.0,1736,1257516,2,1.31018867925,0.96183605474
2097588061,191 Brewster St, San Francisco,CA,94110,4,3.5,0,1538662,6,0.0,1.17687614922
89238613,338 Spear St UNIT 31A, San Francisco,CA,94105,2,2.0,1274,2358191,2,0.961509433962,1.80370915978
15088141,482 Belvedere St, San Francisco,CA,94117,0,0.0,2274,1746529,3,1.71622641509,1.33586734709
80738489,855 Folsom St APT 502, San Francisco,CA,94107,1,1.0,722,362583,4,0.544905660377,0.277328799185
15132399,200 Dellbrook Ave, San Francisco,CA,94131,3,2.0,937,1159063,5,0.707169811321,0.886532324929
80732333,370 De Haro St # B14, San Francisco,CA,94103,1,2.0,1180,1124049,2,0.890566037736,0.859751172545
15120375,2374 20th Ave, San Francisco,CA,94116,3,1.0,1250,1090360,2,0.943396226415,0.833983472693
2097589296,1788 Clay St APT 803, San Francisco,CA,94109,2,2.0,1235,1538662,2,0.932075471698,1.17687614922
15133376,100 Woodside Ave, San Francisco,CA,94127,2,1.0,1285,1312568,2,0.969811320755,1.00394366887
2097592385,160 Julian Ave APT 2, San Francisco,CA,94103,1,1.0,0,1538662,6,0.0,1.17687614922
2125071832,150 Lombard St APT 403, San Francisco,CA,94111,2,2.0,1400,1139009,2,1.05660377358,0.871193625269
15137614,21 Brentwood Ave, San Francisco,CA,94127,4,5.0,2548,1665641,3,1.92301886792,1.27399855593
15189321,342 Faxon Ave, San Francisco,CA,94112,2,1.0,1500,923062,2,1.1320754717,0.706022279129
2097592787,160 Julian Ave APT 1, San Francisco,CA,94103,0,1.0,0,1538662,6,0.0,1.17687614922
79845400,555 4th St UNIT 632, San Francisco,CA,94107,1,1.0,720,763561,5,0.543396226415,0.584024775664
2097593461,2 Mint Plz # 802/4, San Francisco,CA,94103,2,2.0,2653,1538662,3,2.00226415094,1.17687614922
2107753907,86 John St, San Francisco,CA,94133,1,1.0,0,1120297,4,0.0,0.856881380927
15175811,260 Santos St, San Francisco,CA,94134,2,1.0,1019,576055,5,0.769056603774,0.440607092485
15127720,4532 17th St, San Francisco,CA,94114,3,3.0,2800,2623677,3,2.11320754717,2.00677139264
2097595508,985 Greenwich St, San Francisco,CA,94133,0,0.0,4660,2627540,0,3.51698113208,2.00972608481
2098324439,750 Andover St, San Francisco,CA,94110,3,2.0,1508,1678589,2,1.13811320755,1.28390209054
15140675,10 Homewood Ct, San Francisco,CA,94112,3,2.0,1300,1308118,2,0.981132075472,1.0005399981
2097595892,821 Taraval St APT B, San Francisco,CA,94116,3,2.0,0,938309,4,0.0,0.717684249494
15161183,114-116 Coleridge St, San Francisco,CA,94110,0,0.0,0,1441361,6,0.0,1.10245354945
15163000,63 Bronte St, San Francisco,CA,94110,2,1.0,1025,989455,5,0.77358490566,0.756804282047
15182628,160-162 28TH St, San Francisco,CA,94131,3,2.0,1317,1653085,2,0.993962264151,1.26439485028
2097596652,4839-4841 Mission St, San Francisco,CA,94112,2,1.0,1925,978587,2,1.45283018868,0.748491676686
15170703,712 Brazil Ave, San Francisco,CA,94112,4,2.0,1895,862419,2,1.43018867925,0.659638277758
