zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster
2097579536,111 Brookside Ave, Santa Clara,CA,95050,5,3.0,1994,1018089,1
19491454,4289 Dry Bed Ct, Santa Clara,CA,95054,3,3.0,1564,904328,1
64658756,4008 Fitzpatrick Way, Santa Clara,CA,95054,3,3.0,1894,1225911,2
19594505,2362 Kay Dr, Santa Clara,CA,95050,3,2.0,1238,954141,1
19487558,4695 Armour Dr, Santa Clara,CA,95054,5,3.0,2286,1277283,2
19490386,4441 Davis St, Santa Clara,CA,95054,3,2.0,1205,927254,1
19555892,1707 Andrea Pl, Santa Clara,CA,95051,4,4.0,2135,1191937,2
19579515,744 Lewis St, Santa Clara,CA,95050,4,3.0,1691,1213882,2
19596665,1105 Alta Mira Dr APT B, Santa Clara,CA,95051,2,2.0,1012,665585,0
19601229,151 Buckingham Dr UNIT 244, Santa Clara,CA,95051,1,1.0,862,482976,0
19553309,2474 Fairview Ln, Santa Clara,CA,95051,3,2.0,1311,813836,1
19553569,2639 Kerryshire Ln, Santa Clara,CA,95051,3,2.0,1367,879351,1
19581635,19 Linden Dr, Santa Clara,CA,95050,3,2.0,1680,1116302,1
19557909,2040 Main St APT 113, Santa Clara,CA,95050,2,3.0,1125,596856,0
19551860,1720 Franck Ave, Santa Clara,CA,95051,3,2.0,1716,1139618,2
19600844,2425 Michele Jean Way, Santa Clara,CA,95050,2,2.0,1573,836549,1
19556990,948 Civic Center Dr, Santa Clara,CA,95050,2,2.0,680,702865,0
19595194,2453 Diane Marie Way, Santa Clara,CA,95050,3,2.0,1580,969866,1
19601074,150 Saratoga Ave UNIT 345, Santa Clara,CA,95051,1,1.0,862,505788,0
19556123,1887 Graham Ln, Santa Clara,CA,95050,4,1.0,1546,1038458,1
19606906,2288 Talia Ave, Santa Clara,CA,95050,3,2.0,1035,954738,1
19488484,2375 Avenida De Guadalupe, Santa Clara,CA,95054,3,2.0,1245,745825,0
19594186,1157 Blackfield Dr, Santa Clara,CA,95051,3,2.0,1134,971488,1
19598318,732 Woodhams Rd, Santa Clara,CA,95051,3,1.0,900,894350,1
19593927,1481 Bergin Pl, Santa Clara,CA,95051,3,2.0,1566,919861,1
19602781,73 Jenkins Pl, Santa Clara,CA,95051,3,2.0,1600,1425023,2
19597537,3203 Benton St, Santa Clara,CA,95051,4,3.0,1564,748592,0
19617151,3755 Redtail Ct, Santa Clara,CA,95051,4,3.0,2140,1768516,2
19491880,2343 Rambo Ct, Santa Clara,CA,95054,5,4.0,3450,1586134,2
19597051,3011 Kaiser Dr UNIT A, Santa Clara,CA,95051,2,2.0,992,557246,0
19600745,2625 Keystone Ave APT 201, Santa Clara,CA,95051,2,2.0,1338,727611,0
19595438,2951 Miles Dr, Santa Clara,CA,95051,3,2.0,1662,1357018,2
19598294,3055 Dibble Ct, Santa Clara,CA,95051,4,2.0,1605,1290135,2
19599470,2476 Johnson Pl, Santa Clara,CA,95050,3,2.0,1242,1044796,1
19492070,4762 Cheeney St, Santa Clara,CA,95054,3,3.0,1667,1126875,1
19595185,2412 Diane Marie Way, Santa Clara,CA,95050,3,2.0,1580,916661,1
19602620,2857 Regnart Way, Santa Clara,CA,95051,0,0.0,1825,1520955,2
19580249,875 Monroe St, Santa Clara,CA,95050,3,2.0,1400,1031607,1
19607039,2278 Rita Ct, Santa Clara,CA,95050,6,6.0,5206,2416272,2
19579615,1825 Benton St, Santa Clara,CA,95050,3,2.0,1428,1091109,1
19553269,2427 South Dr, Santa Clara,CA,95051,3,3.0,1311,817143,1
69300902,3901 Lick Mill Blvd APT 414, Santa Clara,CA,95054,2,2.0,1148,832359,1
