2097543155,458 W 89th St, Los Angeles,CA,90003,Studio,--,--,Unavailable
20522938,9416 Beverly Crest Dr, Beverly Hills,CA,90210,3,4,2325,3454643
68993810,267 S San Pedro St UNIT 122, Los Angeles,CA,90012,2,2,970,442079
20537999,260 S Canyon View Dr, Los Angeles,CA,90049,6,9,12864,Unavailable
72106838,10913 Whipple St UNIT 305, Toluca Lake,CA,91602,2,3,1640,562263
19962289,15511 Sherman Way APT 15, Van Nuys,CA,91406,3,2,1142,302376
19866599,7243 Sale Ave, West Hills,CA,91307,3,2,1358,545071
20169762,10228 Oklahoma Ave UNIT B, Chatsworth,CA,91311,2,4,1155,353521
20546207,1651 San Onofre Dr, Pacific Palisades,CA,90272,3,4,3548,6722961
20690362,5043 Novgorod St, Los Angeles,CA,90032,2,1,1108,449761
2097543447,9800 Vesper Ave UNIT 88, Panorama City,CA,91402,3,2,1211,Unavailable
20042764,4834 Riverton Ave, North Hollywood,CA,91601,4,3,1720,716593
20953517,911 E 88th St, Los Angeles,CA,90002,Studio,--,--,535706
20613125,648 E 51st St, Los Angeles,CA,90011,5,2,1536,361252
2097543688,5212 Bellaire Ave, Valley Village,CA,91607,3,3,2018,Unavailable
20117923,12852 Kelowna St, Pacoima,CA,91331,4,3,1914,458235
20155010,19466 Turtle Ridge Ln, Northridge,CA,91326,2,3,1787,553347
20443299,1 Ironsides St APT 11, Marina Del Rey,CA,90292,2,2,1266,1310249
2097543998,4657 Coldwater Canyon Ave, Studio City,CA,91604,11,10,5238,Unavailable
2097544076,4356 W Rose Hill Dr, Los Angeles,CA,90032,Studio,--,--,Unavailable
19960907,15050 Sherman Way UNIT 184, Van Nuys,CA,91405,3,3,1586,347989
95669045,1026 S Oxford Ave UNIT 204, Los Angeles,CA,90006,2,2,1180,538322
20990488,320 W 120th St, Los Angeles,CA,90061,Studio,--,2060,483696
19873553,23932 Mobile St, West Hills,CA,91307,3,4,2020,665223
20043728,4271 Riverton Ave, North Hollywood,CA,91602,3,2,1576,1046019
20091323,10065 Foothill Blvd, Sylmar,CA,91342,3,2,1287,497052
20091323,10065 Foothill Blvd, Sylmar,CA,91342,3,2,1287,497052
21301291,813 Eastman Pl, San Pedro,CA,90731,4,2,1934,717151
20532777,10020 Westwanda Dr, Beverly Hills,CA,90210,3,2,1464,1248595
2097545013,8777 Cadillac Ave, Los Angeles,CA,90034,14,13,7029,Unavailable
20972435,641 W 112th St, Los Angeles,CA,90044,4,2,1651,390498
21353806,1706 W 26th St, San Pedro,CA,90732,3,2,1651,770950
20040391,5756 Cleon Ave, North Hollywood,CA,91601,3,2,1011,546889
20848379,4534 Vista Superba St, Los Angeles,CA,90065,2,2,1314,730420
20927243,1424 W 59th St, Los Angeles,CA,90047,2,1,1400,304601
20628694,1153 S Mott St, Los Angeles,CA,90023,4,3,1576,412136
20170857,9910 Hanna Ave, Chatsworth,CA,91311,4,3,2773,692619
20013655,5653 Vantage Ave, North Hollywood,CA,91607,2,2,1000,724609
20015428,5348 Buffalo Ave, Sherman Oaks,CA,91401,3,2,1500,889284
2097545821,8269 Ellenbogen St, Sunland,CA,91040,4,4,2750,Unavailable
20111577,12211 Brookmont Ave, Sylmar,CA,91342,5,3,2360,592858
20804212,6462 Deep Dell Pl, Los Angeles,CA,90068,1,1,792,938695
68991630,5400 Playa Vista Dr APT 4, Playa Vista,CA,90094,2,4,2450,1112471
20450429,554 Rialto Ave, Venice,CA,90291,3,2,1182,1808213
19938640,5325 Newcastle Ave UNIT 342, Encino,CA,91316,1,1,809,323060
20791642,1265 N Commonwealth Ave, Los Angeles,CA,90029,6,5,5000,1747356
20540796,723 Radcliffe Ave, Pacific Palisades,CA,90272,2,2,1449,1965528
20588979,2746 S Sycamore Ave APT 4, Los Angeles,CA,90016,7,4,3224,740245
20022466,13543 Moorpark St APT 9, Sherman Oaks,CA,91423,1,2,670,372344
89151005,645 W 9th St APT 526, Los Angeles,CA,90015,1,1,1023,731646
2101646473,320 S Hobart Blvd, Los Angeles,CA,90020,1,1,7440,Unavailable
20512963,1138 S Crest Dr, Los Angeles,CA,90035,4,2,2146,1537457
20450432,546 Rialto Ave, Venice,CA,90291,2,2,1196,1765071
20089603,10831 Roycroft St UNIT 28, Sun Valley,CA,91352,3,3,1385,396830
19962051,15559 Covello St, Van Nuys,CA,91406,3,1,1575,425822
20074466,13612 Garrick Ave, Sylmar,CA,91342,3,2,1147,425930
21290843,1341 257th St, Harbor City,CA,90710,3,1,990,437948
21351770,358 S Miraleste Dr UNIT 336, San Pedro,CA,90732,2,2,1141,315941
2097547121,7807 Capistrano Ave, West Hills,CA,91304,4,2,1362,Unavailable
89144713,746 S Los Angeles St APT 506, Los Angeles,CA,90014,1,1,999,467821
21311541,628 W 18th St, San Pedro,CA,90731,3,1,1110,487264
20929342,5838 Estrella Ave, Los Angeles,CA,90044,3,2,1114,329448
19936570,5766 Hesperia Ave, Encino,CA,91316,2,2,946,577723
2102581585,Residence 2 Plan, 2775 Cahuenga Los Angeles,CA,90068,3,3.5,1757,1019143
20140094,16119 Index St, Granada Hills,CA,91344,3,2,1616,518632
2097548541,23722 Nadir St, West Hills,CA,91304,4,2,2223,Unavailable
20174740,19126 Lassen St, Northridge,CA,91324,5,3,2835,774038
55821875,18930 Sherman Way APT 20, Reseda,CA,91335,4,3,1714,431616
19980971,15741 Addison St, Encino,CA,91436,5,6,4255,1904661
95609264,15605 Odyssey Dr UNIT 14, Granada Hills,CA,91344,2,2,1100,435359
19952491,17563 Blythe St, Northridge,CA,91325,3,2,1148,535777
20160565,17952 Lahey St, Granada Hills,CA,91344,3,3,2111,715673
20026575,4105 Bellingham Ave, Studio City,CA,91604,5,6,4800,2203261
20083310,11706 Terra Bella St, Sylmar,CA,91342,3,2,1254,444832
20094485,10622 Mcvine Ave, Sunland,CA,91040,3,2,1159,454928
20591385,2100 W 29th Pl, Los Angeles,CA,90018,6,4,3155,823314
20039031,6716 Clybourn Ave UNIT 250, North Hollywood,CA,91606,3,2,1174,420225
20577144,4660 Don Lorenzo Dr APT A, Los Angeles,CA,90008,5,3,2650,886103
80390821,11127 Hesby St UNIT 1, North Hollywood,CA,91601,2,3,1040,462180
19983100,4760 Columbus Ave, Sherman Oaks,CA,91403,4,5,2782,1603394
20019960,4842 Morella Ave, Valley Village,CA,91607,2,4,1000,1803363
20809686,1961 De Mille Dr, Los Angeles,CA,90027,6,5,6680,4164411
94643625,530 Bay View Ave, Wilmington,CA,90744,4,3,2122,417852
20636882,583 Clifton St, Los Angeles,CA,90031,0,0,0,Unavailable
20755945,2615 Maceo St, Los Angeles,CA,90065,2,1,760,407755
20955744,9923 Grape St, Los Angeles,CA,90002,3,2,1260,358578
20936246,1608 W 71st St, Los Angeles,CA,90047,3,1,1212,367171
20947960,1518 W 79th St, Los Angeles,CA,90047,4,3,1262,474888
21313103,2627 S Peck Ave, San Pedro,CA,90731,3,2,1366,573216
2097554455,12776 Aurora Pl UNIT 2, Playa Vista,CA,90094,3,3,2242,Unavailable
2097554453,5837 Village UNIT 4, Playa Vista,CA,90094,3,3,2141,Unavailable
20326985,6046 2nd Ave, Los Angeles,CA,90043,2,1.5,947,336295
20388436,8505 Gulana Ave UNIT 4216, Playa Del Rey,CA,90293,1,1,703,465686
89148474,1155 S Grand Ave APT 1403, Los Angeles,CA,90015,3,2,2070,1724072
20015499,13232 Cumpston St, Sherman Oaks,CA,91401,3,2,1560,726965
20540630,300 Toyopa Dr, Pacific Palisades,CA,90272,5,7,5000,6330942
2097555232,(Undisclosed Address)Incomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property  please contact the listing agent  brokerage, or listing provider. Los Angeles,CA,90046,3,3,2456,Unavailable
20102797,13461 Egbert St, Sylmar,CA,91342,3,3,1896,523997
2097555845,S 144 1/2 Hayworth Ave, Los Angeles,CA,90048,3,4,2103,Unavailable
20150795,16801 Parthenia St, Northridge,CA,91343,4,3,1847,489894
51577026,22141 Eccles St, West Hills,CA,91304,4,3,1858,635178
20073372,13145 Bromont Ave UNIT 25, Sylmar,CA,91342,2,3,1078,278380
20150794,16807 Parthenia St, Northridge,CA,91343,5,4,3000,609384
20647221,1132 N Evergreen Ave, Los Angeles,CA,90033,3,3,2166,432715
19864959,8201 Clemens Ave, West Hills,CA,91304,4,3,2225,720492
19899888,22457 Venido Rd, Woodland Hills,CA,91364,5,4,3652,885147
2097556470,S 17726 Lassen Kinzie S St # 39, Northridge,CA,91325,3,3,1700,Unavailable
2097556568,7301 E Lennox E Ave # B5, Van Nuys,CA,91405,2,2,1062,Unavailable
20687798,4000 Via Marisol APT 103, Los Angeles,CA,90042,2,1,920,349701
20937138,1832 W 71st St, Los Angeles,CA,90047,2,1,940,296370
2097556703,144 1/2 S Hayworth Ave, Los Angeles,CA,90048,3,4,2103,Unavailable
20568722,4828 4th Ave, Los Angeles,CA,90043,Studio,--,--,432967
20599662,1566 S Crescent Heights Blvd, Los Angeles,CA,90035,3,2,1605,1129482
20596684,2151 S Rimpau Blvd, Los Angeles,CA,90016,2,1,1232,532588
20595706,1938 Virginia Rd, Los Angeles,CA,90016,4,2,2126,1045262
