zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate
15565842,1120 Adams St, Redwood City,CA,94061,2,1,610,803819
15591960,1969 Kentucky St, Redwood City,CA,94061,4,3,2897,2029652
15636817,26 Pelican Ln, Redwood City,CA,94065,2,1,1062,803818
15638615,700 Baltic Cir UNIT 728, Redwood City,CA,94065,2,2,1049,866721
119687258,206 Demi Ln, Redwood City,CA,94065,3,3,1812,993263
15591276,1646 Kentucky St, Redwood City,CA,94061,3,2,1999,1604070
15563734,1820 Brewster Ave, Redwood City,CA,94062,3,2,1520,1480840
15573304,1816 Harding Ave, Redwood City,CA,94062,3,2,1310,1330885
15576267,1308 Oxford St, Redwood City,CA,94061,2,2,1015,757204
15635233,1276 Woodside Rd, Redwood City,CA,94061,2,2,1360,848419
15640361,3015 E Bayshore Rd SPC 413, Redwood City,CA,94063,3,2,1100,14884
15591254,1710 Virginia Ave, Redwood City,CA,94061,2,1,1030,1151076
15564619,824 Harrison Ave, Redwood City,CA,94062,3,1.5,1300,Unavailable
122245668,636 Fan Tail Way UNIT 913, Redwood City,CA,94063,2,3,1340,987140
15636815,22 Pelican Ln, Redwood City,CA,94065,1,1,1062,794036
15591617,1762 Maryland St, Redwood City,CA,94061,3,1,1020,Unavailable
2103529315,0 Skyline Blvd, Woodside,CA,94062,--,--,--,1087832
15638173,566 Shoal Cir, Redwood City,CA,94065,1,2,1323,961012
2097752839,384 Genoa Dr, Redwood City,CA,94065,2,3,1178,1156521
15573557,532 Quartz St, Redwood City,CA,94062,3,2,2130,1560230
15566225,636 Poplar Ave, Redwood City,CA,94061,3,2,1400,1124034
15567904,961 5th Ave, Redwood City,CA,94063,3,2,2008,1226823
15574106,1127 Junipero Ave, Redwood City,CA,94061,Studio,--,2208,1382364
15563159,12 Woodstock Pl, Redwood City,CA,94062,3,3,1850,1884123
61472013,1435 Kentfield Ave, Redwood City,CA,94061,3,3,2172,1545183
15572607,3809 Harvest Dr, Redwood City,CA,94061,4,2,1570,1514237
15590542,5 Woodridge Ct, Redwood City,CA,94061,4,3,3565,3537564
2097836177,759 Brewster Ave # 17, Redwood City,CA,94063,2,4,1576,1316696
2098586341,311 Fuller St # 10, Redwood City,CA,94063,3,4,1588,1489251
15590421,1055 Silver Hill Rd, Redwood City,CA,94061,4,3,2160,2476451
15638181,598 Shoal Cir, Redwood City,CA,94065,2,2,1298,1037923
15574437,344 Alameda De Las Pulgas, Redwood City,CA,94062,4,6,3720,3025289
15564124,1330 Katherine Ave, Redwood City,CA,94062,3,1,1650,1617194
15565170,1341 Jefferson Ave, Redwood City,CA,94062,2,3,1131,1110246
15575642,1251 Dewey St, Redwood City,CA,94061,3,2,1240,1458616
15638375,7 Chart Ln, Redwood City,CA,94065,3,3,1400,1230102
15618558,546 Osprey Dr, Redwood City,CA,94065,3,3,1630,1636534
82959165,1520 Middlefield Rd, Redwood City,CA,94063,Studio,--,2107,1464657
15591459,2645 Massachusetts Ave, Redwood City,CA,94061,3,2,1910,1657780
15637186,417 Cork Harbour Cir APT A, Redwood City,CA,94065,2,2,900,789267
15577102,511 Fox Ct W, Redwood City,CA,94061,2,2,1410,1002129
15575574,1252 Fairview Ave, Redwood City,CA,94061,3,2,1975,1506244
15590606,8 Alverno Ct, Redwood City,CA,94061,2,4,2530,1955560
15575060,2361 Vera Ave, Redwood City,CA,94061,3,2,1750,1516794
15572685,908 Cambridge Rd, Redwood City,CA,94061,4,3,1580,1707893
15568061,843 6th Ave, Redwood City,CA,94063,2,1,1350,961023
15562794,2512 Whipple Ave, Redwood City,CA,94062,3,2,1460,1622343
15575012,2304 Cheshire Way, Redwood City,CA,94061,3,2,1790,1394678
15637722,825 Lakeshore Dr, Redwood Shore,CA,94065,3,2,2056,1491317
15575112,2764 Mcgarvey Ave, Redwood City,CA,94061,3,2,1250,1377016
15574828,823 Breeze Pl, Redwood City,CA,94062,4,2,1750,1474733
15576954,313 E Oakwood Blvd, Redwood City,CA,94061,3,3,2060,1532529
15566589,26 Manzanita St, Redwood City,CA,94063,3,2,1600,1033545
15573812,1704 Vera Ave, Redwood City,CA,94061,3,2,1340,1188409
15574746,430 Hillcrest Dr, Redwood City,CA,94062,2,1,830,1138657
2098084771,1539 Jefferson Ave, Redwood City,CA,94062,5,4,3356,2216640
2098093937,451-453 Roosevelt Ave, Redwood City,CA,94061,Studio,--,1562,1078772
15617490,495 Barkentine Ln, Redwood City,CA,94065,4,3,2432,1853641
15590493,1035 Twin Oaks Ct, Redwood City,CA,94061,4,3,2660,2231089
